time,exchange,symbol,interval,price_open,price_high,price_low,price_close,price_volume_usd,funding_open,funding_high,funding_low,funding_close,basis_open_basis,basis_close_basis,basis_open_change,basis_close_change,ls_global_global_account_long_percent,ls_global_global_account_short_percent,ls_global_global_account_long_short_ratio,ls_top_top_account_long_percent,ls_top_top_account_short_percent,ls_top_top_account_long_short_ratio
2025-03-17 13:00:00,Binance,BTCUSDT,1h,83052.01,83735.84,82808.52,83023.38,112670530.9971,0.005562,0.005562,0.003176,0.003176,0.0517,0.0626,42.91,51.98,60.71,39.29,1.55,63.17,36.83,1.72
2025-03-17 14:00:00,Binance,BTCUSDT,1h,83023.37,83358.5,82456.0,82913.03,128144324.3507,0.003176,0.003176,0.000798,0.000798,0.0626,0.0482,51.97,39.93,61.41,38.59,1.59,63.9,36.1,1.77
2025-03-17 15:00:00,Binance,BTCUSDT,1h,82913.03,83701.71,82706.58,83531.06,80783620.0573,0.000798,0.000865,0.000459,0.000865,0.0482,0.0384,39.93,32.06,62.08,37.92,1.64,64.58,35.42,1.82
2025-03-17 16:00:00,Binance,BTCUSDT,1h,83531.07,83878.9,83103.6,83448.86,81194703.2075,0.000865,0.002424,0.000859,0.002424,0.0383,0.049,31.97,40.86,60.73,39.27,1.55,63.26,36.74,1.72
2025-03-17 17:00:00,Binance,BTCUSDT,1h,83448.86,84336.89,83358.49,84197.46,87882504.1372,0.002424,0.004675,0.002424,0.004675,0.0489,0.0392,40.76,32.96,60.52,39.48,1.53,63.28,36.72,1.72
2025-03-17 18:00:00,Binance,BTCUSDT,1h,84197.46,84585.0,83983.74,84496.58,91925361.9855,0.004675,0.005047,0.004675,0.004942,0.0393,0.0409,33.06,34.58,59.11,40.89,1.45,61.74,38.26,1.61
2025-03-17 19:00:00,Binance,BTCUSDT,1h,84496.57,84756.83,84311.07,84482.55,61326826.7819,0.004942,0.004942,0.00334,0.003346,0.0409,0.0549,34.57,46.35,58.73,41.27,1.42,61.28,38.72,1.58
2025-03-17 20:00:00,Binance,BTCUSDT,1h,84482.55,84506.8,83846.15,83954.36,42585133.3914,0.003346,0.003582,0.003007,0.003484,0.0549,0.0369,46.35,30.96,57.85,42.15,1.37,60.53,39.47,1.53
2025-03-17 21:00:00,Binance,BTCUSDT,1h,83954.36,84251.86,83883.87,84077.8,31722236.7986,0.003484,0.003894,0.003484,0.003689,0.0368,0.053,30.86,44.5,57.51,42.49,1.35,60.49,39.51,1.53
2025-03-17 22:00:00,Binance,BTCUSDT,1h,84077.8,84249.99,84000.02,84061.19,18410961.3998,0.003689,0.003689,0.00211,0.00211,0.0531,0.0588,44.6,49.39,57.67,42.33,1.36,60.55,39.45,1.54
